id,user,tweet,date,query,polarity
1579357144960618497,alain06200,"@MllerQuentin @CPolF5 N oublie pas :Les accidents, parfois mortels, s'accumulent sur les chantiers en France, en particulier sur les sites du Grand Paris Express et des JO 2024.",2022-10-10 06:24:21+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579344726460768256,afpfr,"🎧 Sur le fil est avec l'équipe française de break dance, la nouvelle discipline des JO2024, qui s'entraîne déjà dans le temple des champions olympiques, l'Insep. Du sport de haut niveau, mais en gardant l'âme de cette danse née dans le Bronx, à New York. https://t.co/v8vQbB3r4f",2022-10-10 05:35:00+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579329160983777280,Rezguihedi7,@RER_A @Brioche_ Tous les jours vous avez un problème  bande incapable dès le matin vous êtes fort ! on va rigoler pendant les JO 2024,2022-10-10 04:33:09+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579328910890012673,couffinlyon2,"2 veulent se présenter en 2027 !on est déjà en 2027 ? 2022 il se passe quoi pour les  aujourd'hui! se foutent des Français  les veaux revoteront les memes  iront pas votés  continueront les manif! En attendant la délinquance et l'islam politique prospère!
LES JO2024 se prepare!🤣 https://t.co/XjdSDVkeN3",2022-10-10 04:32:09+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579318866542559232,Redskins568,"C'est le même pays qui organise les #jo2024 dans 655 jours ?!
😃😆😁

#penuriecarburant
Inflation
#sacageparis",2022-10-10 03:52:14+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579234629332058113,smaugRAF,@F_Desouche Vivement les JO 2024!!!,2022-10-09 22:17:31+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579200063880196097,DidierCloerec,"Recevoir la prochaine coupe du monde de rugby à XV l'an prochain, c'est l'occasion de voir quels sont les ajustements à prévoir pour les JO de 2024 puisqu'on sera en train d'essuyer les plâtres de nombreuses infrastructures et qu'il faut une sécurité maximale. https://t.co/BCKqe81rrP",2022-10-09 20:00:10+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579200034876575744,JOGallice,"Paris 2024 : dix ans après, les Jeux paralympiques de Londres peuvent-ils encore montrer la voie ? #JO #JO2024 #Paris #France #monde #sport #handisport #handicap | @scoopit https://t.co/qBJSDav0ZM",2022-10-09 20:00:03+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579199156815822848,Juliendu75,"Je sens que les JO 2024 vont montrer une image cataclysmique de Paris

et les greves par dessus tout

ON VA SE REGALER",2022-10-09 19:56:33+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579184497341632512,Astrolabe75011,"#saccageparis #saccagelaFrance #Paris2024 #JO2024 #JOParis2024 #ParissousTutelle @Anne_Hidalgo @cbrossel @OliviaPolski #TuSaccagesTuDégages #HidalgoDemission @sandrousseau @Florent_Giry 

Le recyclage des supers nulles battus systématiquement. Quelle honte HIDALGO https://t.co/cnnqSfLsSg",2022-10-09 18:58:18+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
